Address,ID(Google),Latitude,Longitude,Name,Price_Level(Google),Rating(Google),Zip
"301 Brazos St #150, Austin, TX 78701, USA",f50b77e31a966d96b0ce60630913d0f4d22d20f9,30.2647999,-97.7416279,Uncle Julio's Mexican From Scratch,0.0,4.0,78701
"309 E 3rd St, Austin, TX 78701, USA",f2d7c07a2cad4fdfadadb2646e080c326fd5d8ec,30.2640176,-97.7407451,Fogo de Chão Brazilian Steakhouse,3.0,4.5,78701
"200 Lavaca St, Austin, TX 78701, USA",de732a8ba533678c30635e0a8ac328a528c12219,30.2653905,-97.7467953,Trace,3.0,3.9,78701
"102 1/2 W 3rd St, Austin, TX 78701, USA",6fc6084dc975d347a4c0864ba4f63c03d1cd81a2,30.265584,-97.7444194,Snap Kitchen,0.0,3.3,78701
"500 E Ben White Blvd D-100, Austin, TX 78704, USA",71484156dd46b690d12328c0e9aab1ad7ae49e4a,30.2210017,-97.75701939999999,Cabo Bob's,2.0,4.6,78704
"3632 S Congress Ave, Austin, TX 78704, USA",ab9bdcd4f5d35546b5544971d764f3fd947921c5,30.226596,-97.7622626,Papalote Taco House,0.0,4.5,78704
"1800 E Oltorf St, Austin, TX 78741, USA",3e3b156e3046c249369b668216a0b2155d7f5eeb,30.23228569999999,-97.73630740000002,P. Terry's Burger Stand,0.0,4.4,78741
"204 W Ben White Blvd, Austin, TX 78704, USA",4132951f9f2abfe47d0ca562bc059a5cfe1ceffb,30.224199,-97.7642667,P. Terry's Burger Stand,1.0,4.3,78704
"5639, 534 E Oltorf St, Austin, TX 78704, United States",34f77756a1c962f0df82ae686c201aa59db09c0a,30.23706899999999,-97.749738,Tarbouch,0.0,4.4,78704
"2728 S Congress Ave, Austin, TX 78704, USA",ff013f2ef9c608846005a9b25400e7dfe69e2546,30.2349484,-97.75735069999999,Habana Restaurant,2.0,4.3,78704
"501 W Oltorf St, Austin, TX 78704, USA",364276767e15c1574d16762d7bc2aece3ae04335,30.2412181,-97.7582295,Habanero Cafe,1.0,4.4,78704
"1417 S 1st St, Austin, TX 78704, USA",2cc5da4decb776452323c2a3f17398adf43ca420,30.250129,-97.754559,Sway,3.0,4.5,78704
"2803 S Lamar Blvd, Austin, TX 78704, USA",aa54b5be00d522eeb927155b244dc1f4ac340c93,30.2435326,-97.78189789999999,Papalote Taco House,1.0,4.6,78704
"310 Congress Ave, Austin, TX 78701, USA",d0b7d4d7480ff15be7869c971789854cd87bda08,30.265828,-97.743923,Manuel's Downtown Mexican Restaurant,2.0,3.9,78701
"400 Colorado St, Austin, TX 78701, USA",8e95796470a07a7aa1b02b0413a3b92254e13cca,30.2668232,-97.74502249999999,Truluck's,3.0,4.4,78701
"4200 S Lamar Blvd, Austin, TX 78704, USA",477a9d263adc722c6477946f94a56750f46d73d3,30.235924,-97.795227,Pei Wei,1.0,3.6,78704
