Address,ID(Google),Name,Price_Level(Google),Rating(Google),Zip
"500 W William Cannon Dr #420, Austin, TX 78745, USA",4f300f2056a77ce0e36bfb108ea2f9f2af60612e,Taiwan Restaurant,2.0,3.3,78745
"4301 W William Cannon Dr, Austin, TX 78749, USA",5cd3fcb9c27c2fa4461bfa191e6b4440146d50e4,Panda Express,1.0,3.3,78749
"8106 Brodie Ln # 109, Austin, TX 78745, USA",f57e35f209250e9197c6527431cda56a527bd37b,Beijing Wok,2.0,3.0,78745
"201 San Jacinto Blvd, Austin, TX 78701, USA",7c34c2814c66dc33534adbeb4e64ae7117ec7501,P.F. Chang's,2.0,4.0,78701
"625 W Ben White Blvd, Austin, TX 78704, USA",ec2339d24cecd5986b306474bb427557f034a055,Bamboo Garden Chinese Restaurant,2.0,3.9,78704
"1931 E Ben White Blvd #300, Austin, TX 78741, USA",b9eb17dab1edbc2b1a046a224789b1330e44554c,Asia,2.0,3.8,78741
"1000 E 11th St, Austin, TX 78702, USA",16e0adc337729528dc766fa0acc1160809c816a2,Old Thousand,2.0,4.5,78702
"4200 S Lamar Blvd, Austin, TX 78704, USA",477a9d263adc722c6477946f94a56750f46d73d3,Pei Wei,1.0,3.6,78704
"4006 S Lamar Blvd, Austin, TX 78704, USA",e971a74a49cdb9ed50373800537b2e7bdbd24157,Hunan Lion,2.0,4.0,78704
"212 E Oltorf St, Austin, TX 78704, USA",b75b51402eec73943491ad3847b6b1c46d7a0ad8,New Mandarin,2.0,3.5,78704
"2901 S Capital of Texas Hwy, Austin, TX 78746, USA",a514b7e6cf14beefafc016b988acf116ac7b24da,Panda Express,1.0,3.8,78746
"3201 Bee Caves Rd, Austin, TX 78746, USA",8344380b557848421e0e0204b244f3970a95cb86,Lotus Hunan,2.0,4.1,78746
"IBC Bank Plaza, 500 W 5th St #168, Austin, TX 78701, USA",a7ab15bcdaf437a5e31f3cd509b78b2a9137ec9a,Wu Chow,2.0,4.3,78701
"6156 US-290, Austin, TX 78749, USA",8166718e30258a4f1180276ceeaf87c44f405ffe,Sesame Hill,,3.9,78749
"5261 Kyle Center Dr, Kyle, TX 78640, USA",4ed7340d304cafcb533e03bb7c3f0b8fc61f2d9d,Panda Express,1.0,3.8,78640
"9901 Brodie Ln, Austin, TX 78748, USA",0c6cbbbff49301e98a5789db54ec468e1503ff9d,Wok On Fire,2.0,2.7,78748
"5400 Brodie Ln #1200, Austin, TX 78745, USA",93007705b0e7cb93f5f0750328157d40d807c2bf,Mama Fu's Asian House,2.0,3.4,78745
"151 Evans Dr Ste 111, Kyle, TX 78640, USA",eee32f797dd4a7bfd2ec9639cd8abb69e82d935e,Mama Fu's Asian House,,2.6,78640
"Guadalupe St, Austin, TX 78712, USA",b58e04456438ef6a55ce5d0b6c41c1796fd3d5f9,Panda Express,1.0,3.1,78712
"7800 S 1st St, Austin, TX 78745, USA",0e6c8cf96175f11aeeed6d44bf7b9aed52256dc1,Dragon Delights,1.0,4.5,78745
