Zip,NA,$,$$,Total,Mean Rating,Median Income,Mean Income,Population Size,lat,lng
5401,3.0,1.0,1.0,5.0,4.36,38543,54063.0,28185,44.476621,-73.209998
5403,2.0,0.0,1.0,3.0,4.533333333333334,72279,81120.0,17593,44.444866,-73.173468
5404,0.0,0.0,1.0,1.0,4.3,42911,54044.0,7240,44.495587,-73.184857
5495,0.0,0.0,2.0,2.0,4.05,72348,92249.0,9341,44.429066,-73.096243
