Zip,NA,$,$$,$$$,$$$$,Total,Mean Rating,Median Income,Mean Income,Population Size,lat,lng
78723,13.0,21.0,11.0,0.0,1.0,46.0,3.6195652173913033,40820,53438.0,28330,30.304274,-97.685715
78724,4.0,6.0,2.0,0.0,0.0,12.0,3.6999999999999997,38909,45950.0,21696,30.292599,-97.61817099999999
78725,3.0,0.0,0.0,0.0,0.0,3.0,4.666666666666667,52555,60121.0,6083,30.230010999999998,-97.608576
78726,8.0,7.0,4.0,0.0,0.0,19.0,3.784210526315789,89862,119959.0,13122,30.430940999999997,-97.840101
78727,13.0,15.0,11.0,0.0,0.0,39.0,3.869230769230769,67287,77216.0,26689,30.429937,-97.71779599999999
78728,11.0,13.0,7.0,0.0,0.0,31.0,3.6064516129032254,51163,59428.0,20299,30.45417,-97.692183
78729,9.0,11.0,5.0,0.0,0.0,25.0,3.8719999999999994,59267,68418.0,27108,30.458396,-97.755344
78730,6.0,2.0,4.0,0.0,0.0,12.0,4.1499999999999995,121702,164675.0,7955,30.370265999999997,-97.836156
78731,16.0,8.0,16.0,1.0,0.0,41.0,3.6048780487804875,66320,92031.0,17465,30.348236,-97.768136
78732,10.0,0.0,5.0,0.0,0.0,15.0,3.7866666666666666,120657,142769.0,14060,30.377889,-97.895023
78733,3.0,0.0,0.0,0.0,0.0,3.0,4.6000000000000005,125088,165335.0,8762,30.321329,-97.884738
78734,28.0,11.0,14.0,0.0,0.0,53.0,3.769811320754717,82471,112694.0,17655,30.378736,-97.950592
78735,8.0,13.0,13.0,0.0,0.0,34.0,3.7470588235294118,78171,130697.0,16131,30.268138,-97.86919
78736,11.0,1.0,1.0,0.0,0.0,13.0,2.769230769230769,79837,88374.0,6946,30.261084000000004,-97.959435
78737,15.0,5.0,3.0,0.0,0.0,23.0,3.465217391304348,109027,124373.0,12081,30.190246000000002,-97.956906
78738,18.0,17.0,17.0,2.0,0.0,54.0,3.8907407407407413,115761,148243.0,12134,30.319747999999997,-97.958224
78739,2.0,0.0,0.0,0.0,0.0,2.0,2.3,125257,139929.0,16792,30.178420000000003,-97.888662
78741,9.0,27.0,6.0,0.0,0.0,42.0,3.7333333333333334,28600,36263.0,44935,30.230506,-97.714185
78742,1.0,0.0,0.0,0.0,0.0,1.0,2.7,24223,33679.0,820,30.242354,-97.6592
78744,32.0,13.0,2.0,0.0,0.0,47.0,3.5446808510638292,40834,46401.0,42820,30.176044,-97.727787
78745,13.0,25.0,27.0,0.0,0.0,65.0,4.013846153846154,40987,49678.0,48532,30.206851,-97.797384
78746,22.0,23.0,15.0,1.0,0.0,61.0,3.934426229508196,144895,202076.0,26928,30.296865000000004,-97.809578
78747,3.0,2.0,1.0,0.0,0.0,6.0,3.733333333333333,56943,70423.0,14808,30.126965999999996,-97.73996899999999
78748,15.0,20.0,18.0,0.0,0.0,53.0,3.7113207547169815,66880,78273.0,40651,30.167109999999997,-97.823998
78749,12.0,19.0,13.0,0.0,0.0,44.0,3.815909090909092,81805,89939.0,34449,30.216184000000002,-97.85585
78750,17.0,5.0,15.0,1.0,0.0,38.0,4.065789473684211,83540,101234.0,26814,30.418557,-97.802545
78751,21.0,14.0,22.0,2.0,0.0,59.0,4.032203389830509,37072,53651.0,14385,30.310782,-97.722759
78752,23.0,19.0,14.0,1.0,0.0,57.0,3.87719298245614,30477,42032.0,18064,30.331813,-97.704287
78753,16.0,26.0,19.0,0.0,0.0,61.0,3.8770491803278695,39658,49108.0,49301,30.382462,-97.673473
78754,1.0,1.0,1.0,0.0,0.0,3.0,4.3,57934,66188.0,15036,30.355657,-97.64468199999999
78756,11.0,26.0,15.0,2.0,0.0,54.0,4.094444444444445,49860,68180.0,7194,30.322229999999998,-97.740167
78757,11.0,18.0,34.0,2.0,0.0,65.0,4.124615384615384,53358,66369.0,21310,30.351538,-97.732571
78758,25.0,15.0,26.0,2.0,0.0,68.0,4.075,42886,51581.0,44072,30.387978999999998,-97.70685300000001
78759,19.0,19.0,32.0,3.0,0.0,73.0,4.017808219178081,73831,91009.0,37767,30.402665000000002,-97.761062
