Zip,NA,$,$$,Total,Mean Rating,Median Income,Mean Income,Population Size,lat,lng
78130,0.0,2.0,0.0,2.0,1.15,56272,69242.0,59546,29.693556,-98.07285
78155,4.0,3.0,1.0,8.0,3.2375,48504,59350.0,45341,29.542742999999998,-97.937075
