Zip,NA,$,$$,$$$,$$$$,Total,Mean Rating,Median Income,Mean Income,Population Size,lat,lng
78724,4.0,6.0,2.0,0.0,0.0,12.0,3.6999999999999997,38909,45950.0,21696,30.292599,-97.61817099999999
78725,3.0,0.0,0.0,0.0,0.0,3.0,4.666666666666667,52555,60121.0,6083,30.230010999999998,-97.608576
78726,8.0,7.0,4.0,0.0,0.0,19.0,3.784210526315789,89862,119959.0,13122,30.430940999999997,-97.840101
78727,13.0,15.0,11.0,0.0,0.0,39.0,3.871794871794872,67287,77216.0,26689,30.429937,-97.71779599999999
78728,12.0,13.0,7.0,0.0,0.0,32.0,3.4968749999999997,51163,59428.0,20299,30.45417,-97.692183
78729,9.0,11.0,5.0,0.0,0.0,25.0,3.8719999999999994,59267,68418.0,27108,30.458396,-97.755344
78730,7.0,2.0,4.0,0.0,0.0,13.0,4.107692307692307,121702,164675.0,7955,30.370265999999997,-97.836156
78731,17.0,8.0,15.0,1.0,0.0,41.0,3.6243902439024387,66320,92031.0,17465,30.348236,-97.768136
78732,11.0,0.0,5.0,0.0,0.0,16.0,3.83125,120657,142769.0,14060,30.377889,-97.895023
78733,3.0,0.0,0.0,0.0,0.0,3.0,4.6000000000000005,125088,165335.0,8762,30.321329,-97.884738
78734,27.0,11.0,14.0,0.0,0.0,52.0,3.7673076923076922,82471,112694.0,17655,30.378736,-97.950592
78735,8.0,13.0,13.0,0.0,0.0,34.0,3.7441176470588236,78171,130697.0,16131,30.268138,-97.86919
78736,11.0,1.0,1.0,0.0,0.0,13.0,2.769230769230769,79837,88374.0,6946,30.261084000000004,-97.959435
78737,15.0,5.0,3.0,0.0,0.0,23.0,3.4695652173913043,109027,124373.0,12081,30.190246000000002,-97.956906
78738,18.0,17.0,17.0,2.0,0.0,54.0,3.890740740740741,115761,148243.0,12134,30.319747999999997,-97.958224
78739,2.0,0.0,0.0,0.0,0.0,2.0,2.3,125257,139929.0,16792,30.178420000000003,-97.888662
78741,10.0,28.0,7.0,0.0,0.0,45.0,3.7711111111111113,28600,36263.0,44935,30.230506,-97.714185
78742,1.0,0.0,0.0,0.0,0.0,1.0,2.7,24223,33679.0,820,30.242354,-97.6592
78744,33.0,13.0,2.0,0.0,0.0,48.0,3.5749999999999993,40834,46401.0,42820,30.176044,-97.727787
78745,12.0,22.0,27.0,0.0,0.0,61.0,4.013114754098361,40987,49678.0,48532,30.206851,-97.797384
78746,24.0,23.0,17.0,1.0,0.0,65.0,3.9461538461538446,144895,202076.0,26928,30.296865000000004,-97.809578
78747,3.0,2.0,1.0,0.0,0.0,6.0,3.733333333333333,56943,70423.0,14808,30.126965999999996,-97.73996899999999
78748,13.0,21.0,18.0,0.0,0.0,52.0,3.7250000000000005,66880,78273.0,40651,30.167109999999997,-97.823998
78749,12.0,19.0,13.0,0.0,0.0,44.0,3.8159090909090922,81805,89939.0,34449,30.216184000000002,-97.85585
78750,18.0,5.0,15.0,1.0,0.0,39.0,4.05128205128205,83540,101234.0,26814,30.418557,-97.802545
78751,20.0,15.0,22.0,2.0,0.0,59.0,4.005084745762713,37072,53651.0,14385,30.310782,-97.722759
78752,23.0,18.0,14.0,1.0,0.0,56.0,3.8785714285714286,30477,42032.0,18064,30.331813,-97.704287
78753,17.0,27.0,18.0,0.0,0.0,62.0,3.8564516129032262,39658,49108.0,49301,30.382462,-97.673473
78754,1.0,1.0,1.0,0.0,0.0,3.0,4.3,57934,66188.0,15036,30.355657,-97.64468199999999
78756,10.0,25.0,15.0,2.0,0.0,52.0,4.071153846153846,49860,68180.0,7194,30.322229999999998,-97.740167
78757,10.0,18.0,34.0,2.0,0.0,64.0,4.1156250000000005,53358,66369.0,21310,30.351538,-97.732571
78758,25.0,16.0,27.0,2.0,0.0,70.0,4.081428571428572,42886,51581.0,44072,30.387978999999998,-97.70685300000001
78759,15.0,18.0,33.0,3.0,0.0,69.0,4.008695652173911,73831,91009.0,37767,30.402665000000002,-97.761062
